,chamfer distance,absolute cos_sim
TShirtNoCoat8,0.00055171316,0.15712738
Pants57,0.0005552765,0.07197665
Pants43,0.00061472587,0.09349805
Pants7,0.00048576784,0.06327133
TShirtNoCoat20,0.00042781947,0.057481937
Pants37,0.0010021906,0.10169091
ShortPants3,0.00062164123,0.03945331
ShortPants8,0.0006395631,0.03144259
ShirtNoCoat24,0.0006606017,0.13622655
ShirtNoCoat7,0.0006350484,0.110663556
ShirtNoCoat20,0.0008161689,0.1603394
Pants12,0.0005445535,0.07282075
Pants32,0.00044396048,0.041158743
TShirtNoCoat16,0.00045967163,0.04639901
Pants69,0.0005169161,0.08055022
Pants19,0.00066862995,0.07147138
TShirtNoCoat19,0.00062837277,0.109558195
ShortPants17,0.0005952101,0.037266847
Pants5,0.0005831664,0.11535519
Pants38,0.00045837113,0.06778625
Pants18,0.0005154787,0.07570948
ShortPants5,0.00073911744,0.057346206
TShirtNoCoat10,0.0006341791,0.14585274
ShirtNoCoat23,0.0005497754,0.12525785
ShortPants14,0.00078367104,0.06361195
Pants54,0.00068511924,0.08662928
ShirtNoCoat5,0.00058710424,0.18782476
TShirtNoCoat18,0.0004666972,0.044125855
Pants6,0.0006034818,0.06200361
ShirtNoCoat30,0.0005002937,0.13815403
ShirtNoCoat16,0.00047850824,0.1123073
ShortPants16,0.0008138935,0.062009342
Pants33,0.0006031762,0.07940144
ShortPants1,0.0005125784,0.08335708
Pants60,0.00051422627,0.065352626
ShortPants15,0.0007288373,0.09653978
TShirtNoCoat12,0.00034078356,0.030395068
Pants24,0.0004941443,0.07494457
TShirtNoCoat4,0.00041645294,0.03410826
ShirtNoCoat0,0.00043913035,0.12527056
ShortPants10,0.0006634801,0.040944204
TShirtNoCoat2,0.00046008275,0.088028505
ShirtNoCoat27,0.0006714101,0.100498095
ShirtNoCoat21,0.0006162131,0.10604979
Pants67,0.0006363335,0.091793
TShirtNoCoat3,0.00056588126,0.042650186
Pants36,0.000540254,0.08678688
Pants56,0.00059544167,0.06323466
ShortPants13,0.0008173416,0.06202102
ShirtNoCoat25,0.0005432438,0.12555006
ShirtNoCoat29,0.00058878737,0.098750174
ShortPants18,0.00066413655,0.0516441
Pants25,0.0005690007,0.06282949
Pants42,0.0004334986,0.06956495
TShirtNoCoat15,0.0004028615,0.05468446
ShirtNoCoat2,0.00051604887,0.20023529
Pants31,0.00046832208,0.035992175
ShirtNoCoat3,0.0006604254,0.14922701
Pants73,0.00040164494,0.05653219
Pants72,0.0006895445,0.12088728
ShirtNoCoat18,0.00044153555,0.10476493
Pants20,0.0005871162,0.09891276
ShortPants11,0.00068804814,0.039856203
ShirtNoCoat19,0.0010517582,0.15680051
ShortPants0,0.00070954696,0.051778138
Pants64,0.0005347936,0.079974875
TShirtNoCoat14,0.00049697084,0.11735061
ShortPants9,0.0007616619,0.0521218
ShirtNoCoat15,0.0005764966,0.12718081
TShirtNoCoat9,0.00040995263,0.06257959
Pants75,0.0005207965,0.058449663
Pants68,0.00064394786,0.08994375
ShortPants7,0.0007787811,0.04653911
Pants62,0.000569305,0.088964954
Pants52,0.00050001557,0.07479193
Pants61,0.0005982459,0.09578982
ShirtNoCoat4,0.0005409188,0.13279451
ShortPants2,0.0006728963,0.03682196
Pants8,0.00046109952,0.06324392
Pants13,0.00077489374,0.14697357
Pants21,0.0004941075,0.060193602
Pants65,0.00052035094,0.062307045
TShirtNoCoat11,0.00048538437,0.046312332
ShirtNoCoat6,0.0005662488,0.14048755
TShirtNoCoat1,0.00041707017,0.04765874
ShirtNoCoat11,0.0006139148,0.14336973
Pants59,0.0004780541,0.06555413
ShirtNoCoat17,0.0005590832,0.15665773
Pants49,0.00063669495,0.083469816
TShirtNoCoat13,0.00050463085,0.06705751
Pants0,0.0004635848,0.09387738
ShirtNoCoat12,0.0007264047,0.14769343
Pants28,0.00059204176,0.06466179
Pants40,0.0005426908,0.0783796
TShirtNoCoat7,0.0004751202,0.08742447
ShirtNoCoat9,0.00072327425,0.13821301
Pants50,0.00061603513,0.10269937
ShortPants4,0.0007588895,0.051829834
Pants47,0.00064407004,0.083860785
Pants1,0.00056281645,0.0898536
Pants9,0.00061346556,0.094743386
Pants35,0.00053642853,0.066523075
Pants66,0.0005200455,0.08505713
ShirtNoCoat1,0.0006187842,0.1440918
Pants70,0.00052246044,0.07940261
Pants34,0.0005526879,0.044680163
Pants53,0.0005452591,0.08709216
Pants46,0.0005792719,0.085053265
Pants44,0.00062966323,0.09904643
ShirtNoCoat10,0.00052310736,0.0837677
Pants51,0.00049330137,0.06805479
TShirtNoCoat5,0.00044108462,0.08236891
Pants45,0.00058242463,0.09031746
Pants23,0.000688177,0.07499014
Pants41,0.00061663036,0.06282571
Pants71,0.000606298,0.07640031
Pants55,0.0005017074,0.04514026
Pants15,0.0004987496,0.06444822
Pants76,0.0005482212,0.074002564
LongCoat1,0.0005577089,0.15968195
Pants17,0.0005548276,0.10082219
ShirtNoCoat8,0.00048384524,0.1224943
Pants74,0.0005042639,0.0608652
TShirtNoCoat22,0.0004385486,0.0780991
ShortPants12,0.00084835687,0.05029551
ShirtNoCoat28,0.00063389644,0.21527588
Pants27,0.0006044187,0.08864802
LongCoat0,0.00042144227,0.115837194
TShirtNoCoat0,0.00049069675,0.046055637
Pants63,0.0006014517,0.0881189
Pants16,0.0005513686,0.09176625
Pants3,0.0006152599,0.09131546
Pants14,0.00054849766,0.08888054
Pants26,0.0005297546,0.058385104
Pants48,0.00044593803,0.04318069
ShirtNoCoat13,0.00055214774,0.10343052
Pants2,0.00062594656,0.10780337
TShirtNoCoat23,0.00046694657,0.067587465
Pants29,0.00053768116,0.07516028
Pants22,0.0005238994,0.05143419
TShirtNoCoat24,0.00046425115,0.034564786
Pants39,0.00059778837,0.06791459
ShortPants6,0.0006360061,0.049987495
Pants10,0.0005999455,0.081989676
ShirtNoCoat22,0.0005602913,0.115871444
TShirtNoCoat17,0.00041168614,0.07766269
Pants58,0.00057377457,0.09070166
Pants30,0.0004781795,0.06636922
ShirtNoCoat26,0.0006190058,0.1984571
ShirtNoCoat14,0.0004169618,0.11311647
Pants4,0.00055614824,0.0979621
TShirtNoCoat6,0.00039613261,0.044579934
TShirtNoCoat21,0.0003973179,0.041790184
Pants11,0.0005148719,0.079637796
